caldt,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret
04/29/2016,-0.011363,-0.008669,-0.004458,-0.003913,-0.003028,-0.000426,0.000666,0.000254,0.000051,0.004741
05/31/2016,0.007189,0.007519,0.001216,-0.001491,-0.001997,-0.001043,-0.000395,0.000155,0.000115,0.004046
06/30/2016,0.081482,0.059325,0.033345,0.027573,0.020241,0.006537,0.002989,0.000437,0.000188,0.003284
07/29/2016,0.023540,0.010644,0.003269,0.000892,-0.000004,-0.000304,-0.000439,0.000261,0.000171,-0.001618
08/31/2016,-0.007586,-0.016033,-0.007940,-0.010214,-0.007998,-0.002592,-0.000113,0.000269,0.000165,0.000918
09/30/2016,-0.016210,-0.011125,-0.001325,0.004209,0.003735,0.001262,0.000587,0.000562,0.000219,0.002404
10/31/2016,-0.052765,-0.033188,-0.015542,-0.010957,-0.006222,-0.000428,0.000553,0.000282,0.000168,0.001247
11/30/2016,-0.092558,-0.064666,-0.040878,-0.035318,-0.023927,-0.003813,-0.001020,0.000123,0.000136,-0.001555
12/30/2016,-0.003585,-0.002863,-0.003537,-0.000909,0.000090,-0.000514,0.000545,0.000437,0.000239,0.000327
01/31/2017,0.003438,0.001949,0.002167,0.002368,0.002885,0.000848,0.001536,0.000476,0.000358,0.005828
02/28/2017,0.014700,0.012049,0.007423,0.003661,0.000809,0.000628,0.000055,0.000352,0.000364,0.003146
03/31/2017,-0.000788,0.000421,0.002424,0.003138,0.003220,0.001442,0.000026,0.000384,0.000353,0.000813
04/28/2017,0.013940,0.013358,0.011063,0.009559,0.007231,0.001317,0.000494,0.000617,0.000537,0.002966
05/31/2017,0.019849,0.014953,0.007856,0.007299,0.004701,0.001096,0.000730,0.000588,0.000614,0.000855
06/30/2017,0.011944,0.000066,-0.001307,-0.005711,-0.003845,-0.000752,0.000320,0.000873,0.000617,0.000907
07/31/2017,-0.014681,-0.004422,-0.000007,0.004046,0.004778,0.001994,0.001660,0.000917,0.000722,-0.000690
08/31/2017,0.038103,0.029059,0.017123,0.012751,0.007760,0.001622,0.001338,0.000978,0.000827,0.002994
09/29/2017,-0.024410,-0.020094,-0.017151,-0.012461,-0.008855,-0.001865,-0.000121,0.000802,0.000944,0.005295
10/31/2017,-0.001464,-0.000815,-0.001133,-0.001771,-0.001956,-0.000788,0.000230,0.000939,0.000840,-0.000632
11/30/2017,0.012175,0.004881,-0.002607,-0.002575,-0.003261,-0.001773,-0.000667,0.000951,0.000826,0.000024
12/29/2017,0.020232,0.011229,0.002222,0.000290,-0.000897,-0.000203,0.000146,0.000942,0.000884,-0.000588
01/31/2018,-0.036049,-0.030502,-0.023598,-0.018556,-0.012369,-0.003274,0.000496,0.001346,0.001121,0.005448
02/28/2018,-0.035290,-0.022646,-0.013002,-0.007220,-0.003601,-0.000346,0.000361,0.000969,0.001073,0.004535
03/29/2018,0.032371,0.024809,0.012783,0.009382,0.006214,0.001743,0.001566,0.001145,0.000261,0.002261
04/30/2018,-0.026111,-0.020705,-0.015476,-0.012063,-0.008743,-0.001777,0.000733,0.001479,0.001433,0.003975
05/31/2018,0.022025,0.015030,0.009592,0.009291,0.007578,0.003656,0.002171,0.001491,0.001401,0.004159
06/29/2018,0.009223,0.004947,0.002260,0.001257,0.000589,-0.000021,0.001498,0.001522,0.001408,0.001594
07/31/2018,-0.015182,-0.012114,-0.005108,-0.003878,-0.002330,-0.000186,0.001438,0.001691,0.001558,0.000067
08/31/2018,0.015453,0.014525,0.010064,0.009101,0.007665,0.003675,0.002430,0.001675,0.001575,0.000556
09/28/2018,-0.033121,-0.024947,-0.014807,-0.010571,-0.007518,-0.001759,0.000401,0.001524,0.001490,0.001162
10/31/2018,-0.032213,-0.019438,-0.004347,0.000149,0.001461,0.001830,0.002158,0.001931,0.001890,0.001767
11/30/2018,0.021458,0.021685,0.014917,0.012931,0.009218,0.004099,0.002183,0.001900,0.001795,-0.003349
12/31/2018,0.056610,0.047374,0.028561,0.021851,0.017452,0.008316,0.003538,0.001935,0.001930,-0.003194
01/31/2019,0.006251,0.007664,0.007138,0.007007,0.005508,0.002568,0.003047,0.001923,0.001920,0.001907
02/28/2019,-0.012107,-0.010048,-0.004272,-0.004038,-0.002041,0.000610,0.001884,0.001740,0.001809,0.004227
03/29/2019,0.055952,0.046442,0.029419,0.021431,0.016241,0.006961,0.003373,0.001991,0.001935,0.005641
04/30/2019,-0.019750,-0.014164,-0.006214,-0.002898,-0.000107,0.001933,0.002157,0.002044,0.002125,0.005295
05/31/2019,0.076581,0.054629,0.031854,0.026899,0.019902,0.008164,0.003456,0.002196,0.001983,0.002129
06/28/2019,0.010051,0.012249,0.012073,0.010693,0.008867,0.004399,0.003795,0.002163,0.001853,0.000199
07/31/2019,0.003196,0.003457,0.003435,0.000797,-0.001159,-0.000671,0.000662,0.002002,0.001783,0.001671
08/30/2019,0.125914,0.079334,0.040344,0.027963,0.022261,0.008336,0.003716,0.001762,0.001908,-0.000051
09/30/2019,-0.030480,-0.019738,-0.013852,-0.009262,-0.005911,-0.001297,0.000941,0.001968,0.001787,0.000783
10/31/2019,-0.012836,-0.008841,-0.000742,0.002008,0.002643,0.003274,0.003283,0.001961,0.001531,0.002286
11/29/2019,-0.004773,-0.007468,-0.007410,-0.006390,-0.003725,-0.001038,0.000411,0.001130,0.001197,-0.000536
12/31/2019,-0.036467,-0.023150,-0.011292,-0.005232,-0.000824,0.002274,0.001750,0.001498,0.001431,-0.000910
01/31/2020,0.089398,0.064401,0.039182,0.028826,0.019282,0.006337,0.002563,0.001308,0.001164,0.003880
